logTP,fit,se,lwr,upr,LM,JB,DR,TSI
4.280712253,3.519818076,0.033437032,3.464763128,3.574873023,30.08773419,42.09892217,36.11658056,42.98073772
4.290712253,3.530222766,0.033453028,3.475141482,3.58530405,30.48515985,42.71807525,36.64371972,43.6080626
4.300712253,3.54056023,0.033469462,3.485451887,3.595668574,30.88783507,43.34633428,37.17855272,44.2445436
4.310712253,3.55083049,0.033486608,3.495693914,3.605967065,31.29582919,43.98383318,37.72119188,44.89031434
4.320712253,3.561033572,0.033504747,3.505867131,3.616200013,31.70921245,44.63070784,38.27175112,45.54551043
4.330712253,3.571169515,0.033524162,3.515971105,3.626367924,32.12805605,45.28709615,38.83034604,46.21026942
4.340712253,3.581238361,0.033545144,3.526005406,3.636471317,32.55243211,45.95313803,39.39709392,46.8847309
4.350712253,3.591240164,0.033567984,3.5359696,3.646510728,32.98241371,46.62897545,39.97211377,47.56903647
4.360712253,3.601174982,0.033592982,3.54586326,3.656486704,33.41807489,47.31475248,40.55552632,48.26332982
4.370712253,3.611042882,0.033620436,3.555685956,3.666399808,33.85949067,48.01061531,41.14745405,48.96775672
4.380712253,3.620843938,0.03365065,3.565437264,3.676250613,34.30673706,48.71671226,41.74802126,49.68246507
4.390712253,3.630578232,0.033683929,3.575116763,3.686039701,34.75989109,49.43319384,42.35735405,50.40760494
4.400712253,3.64024585,0.03372058,3.584724035,3.695767666,35.21903078,50.1602128,42.97558034,51.14332858
4.410712253,3.649846889,0.03376091,3.594258669,3.705435109,35.68423519,50.89792409,43.60282995,51.88979046
4.420712253,3.659381451,0.033805227,3.603720261,3.71504264,36.15558444,51.64648498,44.23923457,52.64714733
4.430712253,3.668849643,0.033853838,3.613108414,3.724590872,36.63315969,52.40605503,44.88492783,53.41555818
4.440712253,3.678251581,0.03390705,3.622422737,3.734080426,37.11704319,53.17679616,45.5400453,54.19518437
4.450712253,3.687587388,0.033965168,3.631662852,3.743511924,37.60731825,53.95887265,46.20472452,54.98618959
4.460712253,3.69685719,0.034028492,3.640828389,3.752885991,38.10406929,54.75245121,46.87910507,55.78873991
4.470712253,3.706061122,0.034097321,3.649918991,3.762203252,38.60738187,55.55770102,47.56332853,56.60300385
